SemEpi,Status,data,precip,temp,temp_max,temp_min,umid
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,0,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
1,1,2017-01-01,0.0,23.55,24.263,22.588,58.583
